state,psychiatrists,population,psychiatrists_per_100k,year
Indiana,,6924275.0,,2024
Iowa,,3241488.0,,2024
Kansas,,2970606.0,,2024
Kentucky,,4588372.0,,2024
Louisiana,,4597740.0,,2024
Maine,,1405012.0,,2024
Maryland,,6263220.0,,2024
Massachusetts,,7136171.0,,2024
Michigan,,10140459.0,,2024
Minnesota,,5793151.0,,2024
Mississippi,,2943045.0,,2024
Missouri,,6245466.0,,2024
Montana,,1137233.0,,2024
Nebraska,,2005465.0,,2024
Nevada,,3267467.0,,2024
New Hampshire,,1409032.0,,2024
New Jersey,,9500851.0,,2024
New Mexico,,2130256.0,,2024
New York,,19867248.0,,2024
North Carolina,,11046024.0,,2024
North Dakota,,796568.0,,2024
Ohio,,11883304.0,,2024
Oklahoma,,4095393.0,,2024
Oregon,,4272371.0,,2024
Pennsylvania,,13078751.0,,2024
Puerto Rico,,3203295.0,,2024
Rhode Island,,1112308.0,,2024
South Carolina,,5478831.0,,2024
South Dakota,,924669.0,,2024
Tennessee,,7227750.0,,2024
Texas,,31290831.0,,2024
U.S. Virgin Islands,,,,2024
Utah,,3503613.0,,2024
Vermont,,648493.0,,2024
Virginia,,8811195.0,,2024
Washington,,7958180.0,,2024
West Virginia,,1769979.0,,2024
Wisconsin,,5960975.0,,2024
Wyoming,,587618.0,,2024
,,,,2024
,,,,2024
Note: Blank cells indicate that data are not available.,,,,2024
